Perguntas;Grupo
"Dentro da classe [CLASSE], usando só [SUBSET_FEATURES], quais [QTD_SINAIS] sinais são mais próximos?";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Quais sinais você recomendaria comparar com este usando apenas [SUBSET_FEATURES]?";[SUBSET_FEATURES]
"Existe algum sinal da classe [CLASSE] que valha a pena conferir considerando só [SUBSET_FEATURES]?";[CLASSE,SUBSET_FEATURES]
"Usando [SUBSET_FEATURES] como critério de comparação, quais são os mais similares?";[SUBSET_FEATURES]
"Se eu restringir a comparação a [SUBSET_FEATURES], quais sinais se destacam?";[SUBSET_FEATURES]
"Olhando apenas [SUBSET_FEATURES], quais sinais da classe [CLASSE] mais se aproximam deste?";[CLASSE,SUBSET_FEATURES]
"Pode listar [QTD_SINAIS] sinais similares considerando apenas [SUBSET_FEATURES]?";[QTD_SINAIS,SUBSET_FEATURES]
"Quais seriam os [QTD_SINAIS] sinais mais próximos usando apenas [SUBSET_FEATURES]?";[QTD_SINAIS,SUBSET_FEATURES]
"Entre os sinais da classe [CLASSE], quais se parecem mais com este considerando apenas [SUBSET_FEATURES]?";[CLASSE,SUBSET_FEATURES]
"Se eu quiser ver [QTD_SINAIS] sinais da classe [CLASSE] parecidos com este usando [SUBSET_FEATURES], quais seriam?";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
```
